state pi n      x proportion
AK .379  5      3  0.6000000
AL .387 29      9  0.3103448
AR .389 17      2  0.1176471
AZ .449 35     13  0.3714286
CA .609 207   129  0.6231884
CO .537 37     16  0.4324324
CT .606 25     14  0.5600000
DC .925  4      4  1.0000000
DE .619  6      4  0.6666667
FL .509 128    73  0.5703125
GA .469 60     27  0.4500000
HI .718 7       6  0.8571429
IA .539 23      9  0.3913043
ID .359 10      1  0.1000000
IL .618 84     45  0.5357143
IN .498 42     20  0.4761905
KS .415 19      8  0.4210526
KY .412 28     10  0.3571429
LA .399 30     11  0.3666667
MA .618 47     20  0.4255319
MD .619 40     29  0.7250000
ME .577 11      9  0.8181818
MI .573 76     42  0.5526316
MN .541 44     22  0.5000000
MO .492 45     25  0.5555556
MS .430 20     11  0.5500000
MT .471 7       3  0.4285714
NC .497 66     23  0.3484848
ND .445 5       2  0.4000000
NE .416 12     10  0.8333333
NH .541 11      3  0.2727273
NJ .571 59     32  0.5423729
NM .569 13      7  0.5384615
NV .552 15      7  0.4666667
NY .629 116    77  0.6637931
OH .514 87     48  0.5517241
OK .344 22      4  0.1818182
OR .568 28     14  0.5000000
PA .545 92     53  0.5760870
RI .629 7       6  0.8571429
SC .449 29      9  0.3103448
SD .448 6       4  0.6666667
TN .418 40     17  0.4250000
TX .436 123    61  0.4959350
UT .342 15     10  0.6666667
VA .526 57     28  0.4912281
VT .675 5       4  0.8000000
WA .573 46     31  0.6739130
WI .562 45     26  0.5777778
WV .425 11      6  0.5454545
WY .325 4       2  0.5000000
